Date,Open,High,Low,Close ,Adj Close ,Volume
"Mar 1, 2026",23.54,25,22.03,23.04,23.04,"125,245,200"
"Feb 1, 2026",24.38,25.93,22.79,24.03,24.03,"141,494,200"
"Jan 1, 2026",20.26,25.01,20.16,23.88,23.88,"184,109,000"
"Dec 1, 2025",22.15,24,19.99,20.08,20.08,"139,496,700"
"Nov 1, 2025",22.25,22.75,19.93,22.53,22.53,"102,039,300"
"Oct 1, 2025",27.25,28.1,22.24,22.29,22.29,"186,191,300"
"Sep 1, 2025",22.36,27.34,22.18,27.28,27.28,"230,837,700"
"Aug 1, 2025",22.32,23.21,21.92,22.41,22.41,"112,280,200"
"Jul 1, 2025",24.15,24.84,22.27,22.45,22.45,"200,617,300"
"Jun 1, 2025",29.87,31.05,21.54,24.39,24.39,"455,061,000"
"May 1, 2025",27.98,35.81,25.67,29.8,29.8,"265,426,600"
"Apr 1, 2025",22.76,28.25,20.78,27.86,27.86,"216,200,100"
"Mar 1, 2025",25.26,29.8,20.73,22.32,22.32,"284,195,200"
"Feb 1, 2025",25.57,28.97,23.83,25.04,25.04,"110,678,800"
"Jan 1, 2025",31.84,34.4,26.33,26.9,26.9,"135,097,900"
"Dec 1, 2024",28.96,34.37,26.15,31.34,31.34,"281,320,700"
"Nov 1, 2024",22.4,32.12,21.88,29.05,29.05,"259,026,500"
"Oct 1, 2024",22.95,24.54,20.3,22.18,22.18,"130,242,300"
"Sep 1, 2024",24.15,25.02,19.31,22.93,22.93,"276,216,600"
"Aug 1, 2024",22.92,23.48,18.73,23.42,23.42,"133,244,800"
"Jul 1, 2024",23.35,29.79,22.31,22.67,22.67,"308,566,600"
"Jun 1, 2024",40.19,48,22.55,24.69,24.69,"1,706,253,100"
"May 1, 2024",11.03,64.83,10.7,23.14,23.14,"1,305,750,100"
"Apr 1, 2024",12.63,12.67,9.95,11.09,11.09,"92,513,100"
"Mar 1, 2024",14.18,15.89,12.47,12.52,12.52,"109,035,200"
"Feb 1, 2024",14.34,15.23,13.12,14.27,14.27,"53,459,300"
"Jan 1, 2024",17.25,17.6,13.71,14.23,14.23,"63,343,800"
"Dec 1, 2023",14.52,18.59,13.56,17.53,17.53,"168,408,200"
"Nov 1, 2023",13.78,17.56,11.83,14.55,14.55,"148,487,200"
"Oct 1, 2023",16.3,16.31,12.59,13.77,13.77,"71,816,900"
"Sep 1, 2023",18.66,19.48,16.4,16.46,16.46,"73,553,100"
"Aug 1, 2023",21.95,22,16.18,18.55,18.55,"59,275,300"
"Jul 1, 2023",24.29,25.11,21.79,22.2,22.2,"47,270,700"
"Jun 1, 2023",24.04,27.65,20.1,24.25,24.25,"128,240,800"
"May 1, 2023",19.16,24.8,18.06,24.05,24.05,"64,065,900"
"Apr 1, 2023",22.94,23.85,18.65,19.29,19.29,"49,898,900"
"Mar 1, 2023",18.92,27,15.53,23.02,23.02,"171,919,100"
"Feb 1, 2023",21.49,24.88,18.89,19.23,19.23,"81,856,100"
"Jan 1, 2023",18.64,23.48,15.41,21.87,21.87,"103,365,700"
"Dec 1, 2022",26,27.87,16.98,18.46,18.46,"116,516,100"
"Nov 1, 2022",29.4,29.69,21.89,26.21,26.21,"81,877,500"
"Oct 1, 2022",25.14,34.99,23.91,28.31,28.31,"102,981,400"
"Sep 1, 2022",28,30.34,23.42,25.13,25.13,"109,156,700"
"Aug 1, 2022",33.8,47.99,28.26,28.64,28.64,"164,360,700"
"Jul 22, 2022",4:1 Stock Splits ,,,,,
"Jul 1, 2022",30.28,40.41,28.34,34.01,34.01,"211,815,200"
"Jun 1, 2022",30.7,38.25,28.58,30.58,30.58,"278,615,200"
"May 1, 2022",30.91,37.12,19.44,31.18,31.18,"368,167,600"
"Apr 1, 2022",47.22,47.44,30.13,31.27,31.27,"231,608,400"
"Mar 1, 2022",30.55,49.85,19.4,41.65,41.65,"636,574,800"
"Feb 1, 2022",28.25,33.21,23.77,30.83,30.83,"185,137,200"
"Jan 1, 2022",37.31,40.08,21.57,27.23,27.23,"338,492,800"
"Dec 1, 2021",49.85,50.03,32.38,37.1,37.1,"237,976,000"
"Nov 1, 2021",45.63,63.92,45.51,49.05,49.05,"213,188,400"
"Oct 1, 2021",44.85,48.04,41.45,45.88,45.88,"143,270,000"
"Sep 1, 2021",56,57.86,41.7,43.87,43.87,"253,960,400"
"Aug 1, 2021",40.5,56.75,36.31,54.56,54.56,"328,216,000"
"Jul 1, 2021",53.35,54.21,39.5,40.28,40.28,"216,053,600"
"Jun 1, 2021",58.37,86.17,49.25,53.53,53.53,"740,087,600"
"May 1, 2021",44.37,67.2,34.13,55.5,55.5,"549,800,400"
